date,category,region,post_count
2026-05-25,domestic_travel,가평,11
2026-05-25,domestic_travel,강릉,2
2026-05-25,domestic_travel,과천,1
2026-05-25,domestic_travel,광명,1
2026-05-25,domestic_travel,광주,1
2026-05-25,domestic_travel,김포,2
2026-05-25,domestic_travel,남산,1
2026-05-25,domestic_travel,남양주,8
2026-05-25,domestic_travel,대전,1
2026-05-25,domestic_travel,송도,1
2026-05-25,domestic_travel,수원,2
2026-05-25,domestic_travel,시청,1
2026-05-25,domestic_travel,양평,7
2026-05-25,domestic_travel,인천,8
2026-05-25,domestic_travel,춘천,3
2026-05-25,domestic_travel,파주,5
2026-05-25,food,가평,4
2026-05-25,food,강릉,2
2026-05-25,food,과천,1
2026-05-25,food,광주,2
2026-05-25,food,김포,1
2026-05-25,food,남양주,4
2026-05-25,food,송도,1
2026-05-25,food,수원,1
2026-05-25,food,양평,2
2026-05-25,food,인천,5
2026-05-25,food,춘천,1
2026-05-25,food,파주,3
2026-05-26,domestic_travel,가평,20
2026-05-26,domestic_travel,강릉,1
2026-05-26,domestic_travel,과천,2
2026-05-26,domestic_travel,광명,1
2026-05-26,domestic_travel,광주,1
2026-05-26,domestic_travel,김포,2
2026-05-26,domestic_travel,남양주,3
2026-05-26,domestic_travel,명동,1
2026-05-26,domestic_travel,부산,1
2026-05-26,domestic_travel,부천,2
2026-05-26,domestic_travel,분당,1
2026-05-26,domestic_travel,수원,1
2026-05-26,domestic_travel,안양,1
2026-05-26,domestic_travel,양양,2
2026-05-26,domestic_travel,양평,3
2026-05-26,domestic_travel,인천,10
2026-05-26,domestic_travel,일산,1
2026-05-26,domestic_travel,춘천,11
2026-05-26,domestic_travel,파주,4
2026-05-26,food,가평,12
2026-05-26,food,과천,1
2026-05-26,food,광주,2
2026-05-26,food,김포,1
2026-05-26,food,남양주,2
2026-05-26,food,안양,1
2026-05-26,food,양양,1
2026-05-26,food,양평,3
2026-05-26,food,인천,8
2026-05-26,food,춘천,4
2026-05-26,food,파주,3
2026-05-27,domestic_travel,가평,16
2026-05-27,domestic_travel,강동,1
2026-05-27,domestic_travel,강릉,1
2026-05-27,domestic_travel,고양,1
2026-05-27,domestic_travel,광명,1
2026-05-27,domestic_travel,김포,2
2026-05-27,domestic_travel,남양주,2
2026-05-27,domestic_travel,대전,1
2026-05-27,domestic_travel,미사,1
2026-05-27,domestic_travel,부산,1
2026-05-27,domestic_travel,부천,4
2026-05-27,domestic_travel,수원,1
